list_position,jmdict_id,term,reading,frequency_rank,matched_frequency_word,matched_frequency_reading,match_kind,normalized_match,homograph_candidate_ids,homograph_ambiguous,high_priority,variant_count,review_group_count,review_field_count,representative_bank,representative_row_index_zero_based
64,1009470,なら,なら,51,なら,なら,definition_variant,False,1009470,False,True,2,2,30,term_bank_2.json,84
65,1577100,何,なに,52,何,なに,definition_variant,False,1577100,False,True,2,2,54,term_bank_54.json,65
66,1288850,今,いま,53,今,いま,definition_variant,False,1288850,False,True,1,1,8,term_bank_26.json,396
67,1576870,俺,おれ,54,俺,おれ,definition_variant,False,1576870,False,True,5,1,4,term_bank_54.json,6
68,1012980,やる,やる,55,やる,やる,definition_variant,False,1012980,False,True,2,2,130,term_bank_2.json,789
69,1008910,どう,どう,56,どう,どう,definition_variant,False,1008910;2255350,True,True,2,1,7,term_bank_1.json,1975
70,2255350,どう,どう,56,どう,どう,definition_variant,False,1008910;2255350,True,False,1,1,2,term_bank_121.json,1148
71,1547720,来る,くる,57,来る,くる,definition_variant,False,1547720,False,True,1,1,20,term_bank_50.json,1889
72,2029000,へ,へ,58,へ,へ,definition_variant,False,2029000,False,True,2,1,5,term_bank_98.json,694
73,2780660,もの,もの,59,もの,もの,definition_variant,False,2780660,False,True,2,1,6,term_bank_169.json,746
74,2028960,や,や,60,や,や,definition_variant,False,2028960,False,True,1,1,28,term_bank_98.json,690
75,1000420,あの,あの,61,あの,あの,definition_variant,False,1000420;1000430,True,True,3,2,16,term_bank_1.json,68
76,1000430,あの,あの,61,あの,あの,definition_variant,False,1000420;1000430,True,True,3,2,10,term_bank_1.json,71
77,1591110,聞く,きく,63,聞く,きく,definition_variant,False,1591110,False,True,2,2,52,term_bank_56.json,684
78,1580640,人,ひと,64,人,ひと,definition_variant,False,1580640,False,True,2,2,58,term_bank_54.json,1156
79,1318610,自分,じぶん,65,自分,じぶん,definition_variant,False,1318610,False,True,1,1,10,term_bank_28.json,1948
80,1010080,はい,はい,66,はい,はい,definition_variant,False,1010080,False,True,2,1,21,term_bank_2.json,178
81,1420470,知る,しる,67,知る,しる,definition_variant,False,1420470,False,True,2,2,58,term_bank_39.json,100
82,2087820,んです,んです,68,んです,んです,definition_variant,False,2087820,False,True,2,1,8,term_bank_104.json,396
83,1004880,こんな,こんな,69,こんな,こんな,definition_variant,False,1004880,False,True,1,1,9,term_bank_1.json,1148
84,2029130,ぞ,ぞ,70,ぞ,ぞ,definition_variant,False,2029130,False,True,1,1,3,term_bank_98.json,718
85,1392580,前,まえ,71,前,まえ,definition_variant,False,1392580,False,True,1,1,40,term_bank_36.json,596
86,2089060,なんて,なんて,72,なんて,なんて,definition_variant,False,2089060,False,True,1,1,8,term_bank_104.json,657
87,2394370,あ,あ,73,あ,あ,definition_variant,False,2394370,False,True,5,1,7,term_bank_132.json,1992
88,1163940,ちょっと,ちょっと,74,ちょっと,ちょっと,definition_variant,False,1163940,False,True,9,5,135,term_bank_14.json,98
89,1524930,また,また,75,また,また,definition_variant,False,1524930,False,True,4,4,136,term_bank_48.json,1544
90,1338240,出る,でる,76,出る,でる,definition_variant,False,1338240,False,True,1,1,82,term_bank_30.json,1850
91,1008450,では,では,78,では,では,definition_variant,False,1008450,False,True,1,1,18,term_bank_1.json,1896
92,2857380,いや,いや,80,いや,いや,definition_variant,False,2830360;2857380,True,True,2,1,2,term_bank_203.json,1732
93,2830360,いや,いや,80,いや,いや,definition_variant,False,2830360;2857380,True,False,5,1,9,term_bank_178.json,531
94,2457920,ですか,ですか,81,ですか,ですか,definition_variant,False,2457920,False,True,1,1,4,term_bank_139.json,523
95,1410590,待つ,まつ,82,待つ,まつ,definition_variant,False,1410590,False,True,2,1,8,term_bank_38.json,149
96,2028950,とは,とは,83,とは,とは,definition_variant,False,2028950,False,True,1,1,16,term_bank_98.json,689
97,2643970,だって,だって,84,だって,だって,definition_variant,False,2643970,False,True,1,1,13,term_bank_156.json,330
98,1565440,ああ,ああ,85,ああ,ああ,definition_variant,False,1565440;2085080,True,True,2,2,44,term_bank_52.json,1461
99,2085080,ああ,ああ,85,ああ,ああ,definition_variant,False,1565440;2085080,True,True,1,1,7,term_bank_103.json,1831
100,1423310,中,なか,86,中,なか,definition_variant,False,1423310,False,True,1,1,24,term_bank_39.json,601
101,1001090,うん,うん,87,うん,うん,definition_variant,False,1001090;2759530,True,True,4,1,13,term_bank_1.json,176
102,1009980,のに,のに,89,のに,のに,definition_variant,False,1009980,False,True,1,1,11,term_bank_2.json,168
103,1008530,とか,とか,90,とか,とか,definition_variant,False,1008530,False,True,1,1,19,term_bank_1.json,1906
104,1006670,そこ,そこ,91,そこ,そこ,definition_variant,False,1006670,False,True,3,2,20,term_bank_1.json,1521
105,1579110,今日,きょう,93,今日,きょう,definition_variant,False,1579110,False,True,4,1,8,term_bank_54.json,683
106,1013190,より,より,94,より,より,definition_variant,False,1013190,False,True,1,1,20,term_bank_2.json,836
107,2016410,みたい,みたい,95,みたい,みたい,definition_variant,False,2016410,False,True,1,1,5,term_bank_97.json,467
108,1600900,話,はなし,96,話,はなし,definition_variant,False,1600900,False,True,4,2,46,term_bank_58.json,320
109,1281020,考える,かんがえる,97,考える,かんがえる,definition_variant,False,1281020,False,True,3,3,108,term_bank_25.json,752
110,2029100,わ,わ,98,わ,わ,definition_variant,False,2029100,False,True,1,1,9,term_bank_98.json,710
111,1315720,持つ,もつ,99,持つ,もつ,definition_variant,False,1315720,False,True,1,1,23,term_bank_28.json,1481
112,1000580,あれ,あれ,100,あれ,あれ,definition_variant,False,1000580;2847612;2859257,True,True,3,3,60,term_bank_1.json,95
113,2847612,あれ,あれ,100,あれ,あれ,definition_variant,False,1000580;2847612;2859257,True,False,5,2,20,term_bank_194.json,1268
114,2859257,あれ,あれ,100,あれ,あれ,definition_variant,False,1000580;2847612;2859257,True,False,3,1,6,term_bank_205.json,1456
115,1465590,入る,はいる,101,入る,はいる,definition_variant,False,1465590,False,True,2,2,106,term_bank_43.json,724
116,2140410,なんだ,なんだ,102,なんだ,なんだ,definition_variant,False,2140410,False,True,2,1,6,term_bank_109.json,997
117,1414150,大丈夫,だいじょうぶ,103,大丈夫,だいじょうぶ,definition_variant,False,1414150,False,True,2,2,40,term_bank_38.json,770
118,1158880,違う,ちがう,106,違う,ちがう,definition_variant,False,1158880,False,True,1,1,18,term_bank_13.json,1139
119,1188270,何か,なにか,108,何か,なにか,definition_variant,False,1188270,False,True,2,1,9,term_bank_16.json,1103
120,1002940,かな,かな,109,かな,かな,definition_variant,False,1002940,False,True,4,2,22,term_bank_1.json,736
121,2122310,え,え,110,え,え,definition_variant,False,2122310,False,True,1,1,17,term_bank_107.json,1185
122,1008590,として,として,112,として,として,definition_variant,False,1008590,False,True,1,1,12,term_bank_1.json,1911
123,1217730,顔,かお,113,顔,かお,definition_variant,False,1217730,False,True,3,3,87,term_bank_19.json,733
124,1221270,帰る,かえる,114,帰る,かえる,definition_variant,False,1221270,False,True,2,1,9,term_bank_19.json,1403
125,1002290,お前,おまえ,115,お前,おまえ,definition_variant,False,1002290,False,True,4,1,5,term_bank_1.json,543
126,2029120,さ,さ,119,さ,さ,definition_variant,False,2029120,False,True,1,1,37,term_bank_98.json,717
127,1348870,少し,すこし,120,少し,すこし,definition_variant,False,1348870,False,True,3,1,15,term_bank_31.json,1718
128,1151260,悪い,わるい,121,悪い,わるい,definition_variant,False,1151260,False,True,1,1,26,term_bank_12.json,1538
129,1163420,一緒に,いっしょに,125,一緒に,いっしょに,definition_variant,False,1163420,False,True,1,1,4,term_bank_13.json,1972
130,1005900,じゃあ,じゃあ,126,じゃあ,じゃあ,definition_variant,False,1005900,False,True,2,1,7,term_bank_1.json,1375
131,1451750,同じ,おなじ,127,同じ,おなじ,definition_variant,False,1451750,False,True,2,2,24,term_bank_41.json,1858
132,1416830,誰,だれ,128,誰,だれ,definition_variant,False,1416830,False,True,2,1,3,term_bank_38.json,1269
133,1009970,ので,ので,129,ので,ので,definition_variant,False,1009970,False,True,2,1,16,term_bank_2.json,166
134,1012620,もっと,もっと,132,もっと,もっと,definition_variant,False,1012620,False,True,1,1,5,term_bank_2.json,727
135,1198180,会う,あう,134,会う,あう,definition_variant,False,1198180,False,True,4,2,18,term_bank_17.json,849
136,1259140,見える,みえる,135,見える,みえる,definition_variant,False,1259140,False,True,1,1,11,term_bank_23.json,874
137,1006730,そして,そして,136,そして,そして,definition_variant,False,1006730,False,True,6,2,12,term_bank_1.json,1538
138,1400150,早く,はやく,137,早く,はやく,definition_variant,False,1400150,False,True,2,1,9,term_bank_36.json,1977
139,1277450,好き,すき,138,好き,すき,definition_variant,False,1277450,False,True,1,1,18,term_bank_25.json,130
140,2859852,うち,うち,139,うち,うち,definition_variant,False,2859852,False,False,4,1,3,term_bank_206.json,673
141,1004500,こっち,こっち,140,こっち,こっち,definition_variant,False,1004500,False,True,5,5,105,term_bank_1.json,1071
142,1338180,出す,だす,142,出す,だす,definition_variant,False,1338180,False,True,1,1,32,term_bank_30.json,1839
143,1013240,らしい,らしい,143,らしい,らしい,definition_variant,False,1013240,False,True,1,1,10,term_bank_2.json,844
144,1305990,使う,つかう,145,使う,つかう,definition_variant,False,1305990,False,True,2,1,16,term_bank_27.json,1630
145,1012810,やっぱり,やっぱり,147,やっぱり,やっぱり,definition_variant,False,1012810,False,True,2,2,56,term_bank_2.json,766
146,1008420,でしょう,でしょう,148,でしょう,でしょう,definition_variant,False,1008420,False,True,2,1,10,term_bank_1.json,1893
147,2425930,なの,なの,149,なの,なの,definition_variant,False,2425930,False,False,1,1,7,term_bank_136.json,359
148,1001140,ええ,ええ,150,ええ,ええ,definition_variant,False,1001140,False,True,2,1,20,term_bank_1.json,194
149,1007660,ちゃん,ちゃん,151,ちゃん,ちゃん,definition_variant,False,1007660,False,True,1,1,2,term_bank_1.json,1739
150,2158950,よう,よう,152,よう,よう,definition_variant,False,2158950;2654310;2853599,True,False,5,2,24,term_bank_111.json,696
151,2654310,よう,よう,152,よう,よう,definition_variant,False,2158950;2654310;2853599,True,False,1,1,11,term_bank_157.json,382
152,2853599,よう,よう,152,よう,よう,definition_variant,False,2158950;2654310;2853599,True,False,3,2,14,term_bank_200.json,806
153,1419990,男,おとこ,153,男,おとこ,definition_variant,False,1419990,False,True,2,2,32,term_bank_39.json,28
154,1006380,ずっと,ずっと,154,ずっと,ずっと,definition_variant,False,1006380,False,True,2,1,18,term_bank_1.json,1467
155,1327190,手,て,155,手,て,definition_variant,False,1327190,False,True,1,1,39,term_bank_29.json,1783
156,1516930,方,ほう,156,方,ほう,definition_variant,False,1516930,False,True,1,1,17,term_bank_48.json,173
157,1007370,だけど,だけど,157,だけど,だけど,definition_variant,False,1007370,False,True,1,1,4,term_bank_1.json,1686
158,1611580,本当に,ほんとうに,158,本当に,ほんとうに,definition_variant,False,1611580,False,True,2,1,3,term_bank_59.json,1712
159,1604890,目,め,159,目,め,definition_variant,False,1604890,False,True,2,2,108,term_bank_58.json,1840
160,1535880,戻る,もどる,160,戻る,もどる,definition_variant,False,1535880,False,True,1,1,8,term_bank_49.json,1609
161,2667510,よね,よね,162,よね,よね,definition_variant,False,2667510,False,True,2,1,4,term_bank_158.json,972
162,1597890,作る,つくる,163,作る,つくる,definition_variant,False,1597890,False,True,3,3,120,term_bank_57.json,1139
163,1315920,時間,じかん,164,時間,じかん,definition_variant,False,1315920,False,True,1,1,7,term_bank_28.json,1534
164,1012050,まあ,まあ,165,まあ,まあ,definition_variant,False,1012050,False,True,4,1,24,term_bank_2.json,625
165,1009330,どんな,どんな,166,どんな,どんな,definition_variant,False,1009330,False,True,1,1,14,term_bank_2.json,63
166,1310730,死ぬ,しぬ,168,死ぬ,しぬ,definition_variant,False,1310730,False,True,1,1,8,term_bank_28.json,420
167,1466940,どうして,どうして,169,どうして,どうして,definition_variant,False,1466940,False,True,2,2,26,term_bank_43.json,944
168,1562350,話す,はなす,170,話す,はなす,definition_variant,False,1562350,False,True,2,1,14,term_bank_52.json,951
169,1001200,おい,おい,172,おい,おい,definition_variant,False,1001200,False,True,2,1,9,term_bank_1.json,217
170,1366770,人間,にんげん,173,人間,にんげん,definition_variant,False,1366770,False,True,1,1,8,term_bank_33.json,1392
171,1382980,つもり,つもり,176,つもり,つもり,definition_variant,False,1382980,False,True,3,2,26,term_bank_35.json,551
172,1011710,ほら,ほら,177,ほら,ほら,definition_variant,False,1011710,False,True,2,1,6,term_bank_2.json,533
173,1008340,である,である,178,である,である,definition_variant,False,1008340,False,True,1,1,5,term_bank_1.json,1872
174,1586820,ありがとう,ありがとう,179,ありがとう,ありがとう,definition_variant,False,1586820,False,True,3,1,3,term_bank_55.json,1031
175,1380440,声,こえ,180,声,こえ,definition_variant,False,1380440,False,True,2,1,19,term_bank_35.json,6
176,1266440,呼ぶ,よぶ,181,呼ぶ,よぶ,definition_variant,False,1266440,False,True,2,2,34,term_bank_24.json,248
177,1007720,ちゃんと,ちゃんと,182,ちゃんと,ちゃんと,definition_variant,False,1007720,False,True,1,1,18,term_bank_1.json,1744
178,2615440,ため,ため,185,ため,ため,definition_variant,False,2615440,False,False,2,1,3,term_bank_153.json,550
179,1191730,家,いえ,186,家,いえ,definition_variant,False,1191730,False,True,1,1,10,term_bank_16.json,1688
180,1589600,終わる,おわる,188,終わる,おわる,definition_variant,False,1589600,False,True,6,2,40,term_bank_56.json,45
181,1358280,食べる,たべる,190,食べる,たべる,definition_variant,False,1358280,False,True,1,1,6,term_bank_32.json,1593
182,1519210,忘れる,わすれる,193,忘れる,わすれる,definition_variant,False,1519210,False,True,1,1,5,term_bank_48.json,595
183,1316380,次,つぎ,194,次,つぎ,definition_variant,False,1316380,False,True,1,1,6,term_bank_28.json,1596
184,1521400,僕,ぼく,196,僕,ぼく,definition_variant,False,1521400,False,True,2,1,7,term_bank_48.json,954
185,1005460,しか,しか,197,しか,しか,definition_variant,False,1005460,False,True,1,1,6,term_bank_1.json,1287
186,2194050,えっ,えっ,199,えっ,えっ,definition_variant,False,2194050,False,False,1,1,4,term_bank_114.json,1818
187,1236900,教える,おしえる,200,教える,おしえる,definition_variant,False,1236900,False,True,1,1,8,term_bank_21.json,454
188,2084840,年,ねん,201,年,ねん,definition_variant,False,2084840,False,True,1,1,7,term_bank_103.json,1771
189,1003430,きっと,きっと,202,きっと,きっと,definition_variant,False,1003430,False,True,4,2,30,term_bank_1.json,837
190,1548370,頼む,たのむ,203,頼む,たのむ,definition_variant,False,1548370,False,True,3,1,15,term_bank_51.json,73
191,1188490,何も,なにも,204,何も,なにも,definition_variant,False,1188490,False,True,2,1,15,term_bank_16.json,1155
192,1289370,今度,こんど,205,今度,こんど,definition_variant,False,1289370,False,True,1,1,12,term_bank_26.json,472
193,1304970,仕事,しごと,206,仕事,しごと,definition_variant,False,1304970,False,True,1,1,11,term_bank_27.json,1406
194,1307770,子,こ,207,子,こ,definition_variant,False,1307770,False,True,2,2,56,term_bank_27.json,1924
195,1360930,心配,しんぱい,209,心配,しんぱい,definition_variant,False,1360930,False,True,1,1,11,term_bank_33.json,113
196,2827864,なんで,なんで,210,なんで,なんで,definition_variant,False,2827864,False,False,2,1,16,term_bank_175.json,1545
197,1505990,しかし,しかし,211,しかし,しかし,definition_variant,False,1505990,False,True,3,1,3,term_bank_47.json,157
198,1523060,本当,ほんとう,212,本当,ほんとう,definition_variant,False,1523060,False,True,2,1,14,term_bank_48.json,1217
199,2055530,だが,だが,213,だが,だが,definition_variant,False,2055530,False,True,1,1,7,term_bank_101.json,84
200,1154340,くらい,くらい,214,くらい,くらい,definition_variant,False,1154340,False,True,2,1,11,term_bank_13.json,349
201,1315840,時,とき,215,時,とき,definition_variant,False,1315840,False,True,3,2,30,term_bank_28.json,1515
202,1352130,上,うえ,216,上,うえ,definition_variant,False,1352130,False,True,1,1,55,term_bank_32.json,399
203,1591430,気持ち,きもち,217,気持ち,きもち,definition_variant,False,1591430,False,True,2,2,30,term_bank_56.json,804
204,1378520,生きる,いきる,218,生きる,いきる,definition_variant,False,1378520,False,True,2,1,11,term_bank_34.json,1533
205,1259210,見せる,みせる,219,見せる,みせる,definition_variant,False,1259210,False,True,1,1,22,term_bank_23.json,887
206,1401000,相手,あいて,220,相手,あいて,definition_variant,False,1401000,False,True,1,1,10,term_bank_37.json,193
207,1004310,こう,こう,221,こう,こう,definition_variant,False,1004310;2079550,True,True,2,1,16,term_bank_1.json,1034
208,2079550,こう,こう,221,こう,こう,definition_variant,False,1004310;2079550,True,False,5,1,1,term_bank_103.json,694
209,2823770,ではない,ではない,222,ではない,ではない,definition_variant,False,2823770,False,True,1,1,4,term_bank_173.json,1334
210,1005180,さっき,さっき,223,さっき,さっき,definition_variant,False,1005180,False,True,2,1,5,term_bank_1.json,1234
211,2607690,よし,よし,225,よし,よし,definition_variant,False,2607690,False,True,3,2,16,term_bank_152.json,1095
212,1465610,入れる,いれる,226,入れる,いれる,definition_variant,False,1465610,False,True,2,2,64,term_bank_43.json,727
213,1416840,誰か,だれか,227,誰か,だれか,definition_variant,False,1416840,False,True,1,1,3,term_bank_38.json,1272
214,2683060,なんです,なんです,228,なんです,なんです,definition_variant,False,2683060,False,True,2,2,10,term_bank_159.json,1999
215,1008920,どういう,どういう,229,どういう,どういう,definition_variant,False,1008920,False,True,2,1,4,term_bank_1.json,1978
216,1463770,日,ひ,230,日,ひ,definition_variant,False,1463770,False,True,1,1,20,term_bank_43.json,450
217,1396130,全部,ぜんぶ,232,全部,ぜんぶ,definition_variant,False,1396130,False,True,1,1,5,term_bank_36.json,1098
218,1247250,君,きみ,233,君,きみ,definition_variant,False,1247250,False,True,2,1,12,term_bank_22.json,407
219,1293810,最後,さいご,235,最後,さいご,definition_variant,False,1293810,False,True,1,1,14,term_bank_26.json,1212
220,1355850,場所,ばしょ,236,場所,ばしょ,definition_variant,False,1355850,False,True,1,1,9,term_bank_32.json,1120
221,1510790,変わる,かわる,237,変わる,かわる,definition_variant,False,1510790,False,True,2,2,28,term_bank_47.json,969
222,1236070,強い,つよい,239,強い,つよい,definition_variant,False,1236070,False,True,1,1,31,term_bank_21.json,310
223,1326980,取る,とる,240,取る,とる,definition_variant,False,1326980,False,True,1,1,83,term_bank_29.json,1739
224,1000590,あんな,あんな,241,あんな,あんな,definition_variant,False,1000590,False,True,1,1,11,term_bank_1.json,99
225,1007400,だったら,だったら,242,だったら,だったら,definition_variant,False,1007400,False,True,1,1,3,term_bank_1.json,1691
226,1363540,まさか,まさか,243,まさか,まさか,definition_variant,False,1363540,False,True,2,1,21,term_bank_33.json,642
227,1344930,女,おんな,244,女,おんな,definition_variant,False,1344930,False,True,1,1,9,term_bank_31.json,1031
228,1450330,逃げる,にげる,245,逃げる,にげる,definition_variant,False,1450330,False,True,2,1,23,term_bank_41.json,1627
229,1264540,言葉,ことば,246,言葉,ことば,definition_variant,False,1264540,False,True,4,2,38,term_bank_23.json,1919
230,1487660,必要,ひつよう,247,必要,ひつよう,definition_variant,False,1487660,False,True,2,1,10,term_bank_45.json,846
231,1483150,彼女,かのじょ,249,彼女,かのじょ,definition_variant,False,1483150,False,True,1,1,7,term_bank_45.json,65
232,2143350,かも,かも,250,かも,かも,definition_variant,False,2143350,False,True,1,1,7,term_bank_109.json,1626
233,1531710,名前,なまえ,251,名前,なまえ,definition_variant,False,1531710,False,True,1,1,6,term_bank_49.json,796
234,1405800,続ける,つづける,252,続ける,つづける,definition_variant,False,1405800,False,True,1,1,7,term_bank_37.json,1187
235,1342550,初めて,はじめて,254,初めて,はじめて,definition_variant,False,1342550,False,True,3,1,10,term_bank_31.json,559
236,1221520,気,き,255,気,き,definition_variant,False,1221520,False,True,2,2,92,term_bank_19.json,1476
237,1000730,いけない,いけない,256,いけない,いけない,definition_variant,False,1000730,False,True,1,1,27,term_bank_1.json,115
238,1606560,分かる,わかる,257,分かる,わかる,definition_variant,False,1606560,False,True,4,2,32,term_bank_59.json,482
239,1188760,いつ,いつ,259,いつ,いつ,definition_variant,False,1188760,False,True,2,1,6,term_bank_16.json,1213
240,1530970,無理,むり,260,無理,むり,definition_variant,False,1530970,False,True,2,2,36,term_bank_49.json,673
241,1451210,動く,うごく,261,動く,うごく,definition_variant,False,1451210,False,True,1,1,23,term_bank_41.json,1783
242,1005110,さあ,さあ,262,さあ,さあ,definition_variant,False,1005110,False,True,2,2,54,term_bank_1.json,1225
243,1415000,大変,たいへん,263,大変,たいへん,definition_variant,False,1415000,False,True,2,1,19,term_bank_38.json,916
244,1004410,こそ,こそ,264,こそ,こそ,definition_variant,False,1004410,False,True,1,1,23,term_bank_1.json,1048
245,1205770,確かに,たしかに,266,確かに,たしかに,definition_variant,False,1205770,False,False,2,2,6,term_bank_18.json,377
