list_position,jmdict_id,term,reading,frequency_rank,scope_band,previously_reviewed_5pct,previous_uncertain_fields,matched_frequency_word,matched_frequency_reading,match_kind,normalized_match,homograph_candidate_ids,homograph_ambiguous,high_priority,variant_count,review_group_count,review_field_count,example_field_count,all_variant_field_count,body_characters,representative_bank,representative_row_index_zero_based
42,1589350,思う,おもう,31,已校对前5%,True,0,思う,おもう,definition_variant,False,1589350,False,True,4,4,112,12,112,2523,term_bank_55.json,1967
43,1311110,私,わたし,32,已校对前5%,True,0,私,わたし,definition_variant,False,1311110,False,True,1,1,4,1,4,172,term_bank_28.json,484
44,2820690,いい,いい,33,已校对前5%,True,0,いい,いい,definition_variant,False,2820690,False,True,1,1,26,4,26,1147,term_bank_173.json,791
45,1628530,これ,これ,34,已校对前5%,True,0,これ,これ,definition_variant,False,1628530;2216120,True,True,6,2,36,6,108,1249,term_bank_61.json,705
46,2216120,これ,これ,34,已校对前5%,True,0,これ,これ,definition_variant,False,1628530;2216120,True,False,1,1,6,0,6,92,term_bank_117.json,765
47,2257550,ない,ない,35,已校对前5%,True,0,ない,ない,definition_variant,False,2257550;2861097,True,True,1,1,2,0,2,103,term_bank_121.json,1567
48,2861097,ない,ない,35,已校对前5%,True,0,ない,ない,definition_variant,False,2257550;2861097,True,False,1,1,3,0,3,97,term_bank_207.json,1041
49,2819970,だった,だった,36,已校对前5%,True,0,だった,だった,definition_variant,False,2819970,False,True,1,1,5,1,5,115,term_bank_173.json,698
50,1577980,いる,いる,37,已校对前5%,True,0,いる,いる,definition_variant,False,1577980,False,True,2,1,12,3,24,560,term_bank_54.json,343
51,1259290,見る,みる,39,已校对前5%,True,0,見る,みる,definition_variant,False,1259290,False,True,3,2,58,10,87,1906,term_bank_23.json,903
52,1007130,そんな,そんな,40,已校对前5%,True,0,そんな,そんな,definition_variant,False,1007130,False,True,1,1,11,1,11,425,term_bank_1.json,1648
53,1004200,けど,けど,41,已校对前5%,True,0,けど,けど,definition_variant,False,1004200,False,True,2,1,4,1,8,100,term_bank_1.json,1008
54,1012480,もう,もう,42,已校对前5%,True,0,もう,もう,definition_variant,False,1012480,False,True,1,1,29,6,29,647,term_bank_2.json,702
55,1525680,まで,まで,43,已校对前5%,True,0,まで,まで,definition_variant,False,1525680,False,True,2,1,13,1,26,207,term_bank_48.json,1666
56,2086640,し,し,44,已校对前5%,True,0,し,し,definition_variant,False,2086640;2843516,True,True,1,1,12,1,12,308,term_bank_104.json,138
57,2843516,し,し,44,已校对前5%,True,0,し,し,definition_variant,False,2086640;2843516,True,False,1,1,5,0,5,140,term_bank_190.json,1869
58,2089690,お,お,45,已校对前5%,True,0,お,お,definition_variant,False,2089690,False,False,1,1,2,1,2,104,term_bank_104.json,776
59,1288810,ここ,ここ,46,已校对前5%,True,0,ここ,ここ,definition_variant,False,1288810,False,True,6,2,32,4,96,1113,term_bank_26.json,386
60,2755350,じゃない,じゃない,47,已校对前5%,True,0,じゃない,じゃない,definition_variant,False,2755350,False,True,1,1,5,0,5,55,term_bank_166.json,1803
61,1007310,だから,だから,48,已校对前5%,True,0,だから,だから,definition_variant,False,1007310,False,True,1,1,12,1,12,356,term_bank_1.json,1680
62,1578850,行く,いく,49,已校对前5%,True,0,行く,いく,definition_variant,False,1578850,False,True,4,4,180,16,180,5160,term_bank_54.json,592
63,1928670,だろう,だろう,50,已校对前5%,True,0,だろう,だろう,definition_variant,False,1928670,False,True,2,1,12,2,24,448,term_bank_88.json,1851
64,1009470,なら,なら,51,已校对前5%,True,0,なら,なら,definition_variant,False,1009470,False,True,2,2,30,4,30,1422,term_bank_2.json,84
65,1577100,何,なに,52,已校对前5%,True,0,何,なに,definition_variant,False,1577100,False,True,2,2,54,6,54,1637,term_bank_54.json,65
66,1288850,今,いま,53,已校对前5%,True,0,今,いま,definition_variant,False,1288850,False,True,1,1,8,1,8,139,term_bank_26.json,396
67,1576870,俺,おれ,54,已校对前5%,True,0,俺,おれ,definition_variant,False,1576870,False,True,5,1,4,1,20,79,term_bank_54.json,6
68,1012980,やる,やる,55,已校对前5%,True,0,やる,やる,definition_variant,False,1012980,False,True,2,2,130,14,130,3777,term_bank_2.json,789
69,1008910,どう,どう,56,已校对前5%,True,0,どう,どう,definition_variant,False,1008910;2255350,True,True,2,1,7,1,14,213,term_bank_1.json,1975
70,2255350,どう,どう,56,已校对前5%,True,0,どう,どう,definition_variant,False,1008910;2255350,True,False,1,1,2,0,2,135,term_bank_121.json,1148
71,1547720,来る,くる,57,已校对前5%,True,0,来る,くる,definition_variant,False,1547720,False,True,1,1,20,2,20,566,term_bank_50.json,1889
72,2029000,へ,へ,58,已校对前5%,True,0,へ,へ,definition_variant,False,2029000,False,True,2,1,5,1,10,181,term_bank_98.json,694
73,2780660,もの,もの,59,已校对前5%,True,0,もの,もの,definition_variant,False,2780660,False,True,2,1,6,1,12,360,term_bank_169.json,746
74,2028960,や,や,60,已校对前5%,True,0,や,や,definition_variant,False,2028960,False,True,1,1,28,3,28,810,term_bank_98.json,690
75,1000420,あの,あの,61,已校对前5%,True,0,あの,あの,definition_variant,False,1000420;1000430,True,True,3,2,16,2,24,566,term_bank_1.json,68
76,1000430,あの,あの,61,已校对前5%,True,0,あの,あの,definition_variant,False,1000420;1000430,True,True,3,2,10,2,15,150,term_bank_1.json,71
77,1591110,聞く,きく,63,已校对前5%,True,0,聞く,きく,definition_variant,False,1591110,False,True,2,2,52,4,52,1419,term_bank_56.json,684
78,1580640,人,ひと,64,已校对前5%,True,0,人,ひと,definition_variant,False,1580640,False,True,2,2,58,8,58,1274,term_bank_54.json,1156
79,1318610,自分,じぶん,65,已校对前5%,True,0,自分,じぶん,definition_variant,False,1318610,False,True,1,1,10,2,10,359,term_bank_28.json,1948
80,1010080,はい,はい,66,已校对前5%,True,0,はい,はい,definition_variant,False,1010080,False,True,2,1,21,2,42,502,term_bank_2.json,178
81,1420470,知る,しる,67,已校对前5%,True,0,知る,しる,definition_variant,False,1420470,False,True,2,2,58,4,58,1368,term_bank_39.json,100
82,2087820,んです,んです,68,已校对前5%,True,0,んです,んです,definition_variant,False,2087820,False,True,2,1,8,2,16,333,term_bank_104.json,396
83,1004880,こんな,こんな,69,已校对前5%,True,0,こんな,こんな,definition_variant,False,1004880,False,True,1,1,9,1,9,432,term_bank_1.json,1148
84,2029130,ぞ,ぞ,70,已校对前5%,True,0,ぞ,ぞ,definition_variant,False,2029130,False,True,1,1,3,1,3,116,term_bank_98.json,718
85,1392580,前,まえ,71,已校对前5%,True,0,前,まえ,definition_variant,False,1392580,False,True,1,1,40,9,40,1426,term_bank_36.json,596
86,2089060,なんて,なんて,72,已校对前5%,True,0,なんて,なんて,definition_variant,False,2089060,False,True,1,1,8,1,8,266,term_bank_104.json,657
87,2394370,あ,あ,73,已校对前5%,True,0,あ,あ,definition_variant,False,2394370,False,True,5,1,7,2,35,224,term_bank_132.json,1992
88,1163940,ちょっと,ちょっと,74,已校对前5%,True,0,ちょっと,ちょっと,definition_variant,False,1163940,False,True,9,5,135,20,243,3190,term_bank_14.json,98
89,1524930,また,また,75,已校对前5%,True,0,また,また,definition_variant,False,1524930,False,True,4,4,136,36,136,4668,term_bank_48.json,1544
90,1338240,出る,でる,76,已校对前5%,True,0,出る,でる,definition_variant,False,1338240,False,True,1,1,82,3,82,1464,term_bank_30.json,1850
91,1008450,では,では,78,已校对前5%,True,0,では,では,definition_variant,False,1008450,False,True,1,1,18,2,18,465,term_bank_1.json,1896
92,2857380,いや,いや,80,已校对前5%,True,0,いや,いや,definition_variant,False,2830360;2857380,True,True,2,1,2,1,4,141,term_bank_203.json,1732
93,2830360,いや,いや,80,已校对前5%,True,0,いや,いや,definition_variant,False,2830360;2857380,True,False,5,1,9,1,45,177,term_bank_178.json,531
94,2457920,ですか,ですか,81,已校对前5%,True,0,ですか,ですか,definition_variant,False,2457920,False,True,1,1,4,1,4,127,term_bank_139.json,523
95,1410590,待つ,まつ,82,已校对前5%,True,0,待つ,まつ,definition_variant,False,1410590,False,True,2,1,8,1,16,181,term_bank_38.json,149
96,2028950,とは,とは,83,已校对前5%,True,0,とは,とは,definition_variant,False,2028950,False,True,1,1,16,1,16,646,term_bank_98.json,689
97,2643970,だって,だって,84,已校对前5%,True,0,だって,だって,definition_variant,False,2643970,False,True,1,1,13,3,13,398,term_bank_156.json,330
98,1565440,ああ,ああ,85,已校对前5%,True,0,ああ,ああ,definition_variant,False,1565440;2085080,True,True,2,2,44,10,44,877,term_bank_52.json,1461
99,2085080,ああ,ああ,85,已校对前5%,True,0,ああ,ああ,definition_variant,False,1565440;2085080,True,True,1,1,7,1,7,315,term_bank_103.json,1831
100,1423310,中,なか,86,已校对前5%,True,0,中,なか,definition_variant,False,1423310,False,True,1,1,24,3,24,546,term_bank_39.json,601
101,1001090,うん,うん,87,已校对前5%,True,0,うん,うん,definition_variant,False,1001090;2759530,True,True,4,1,13,3,52,554,term_bank_1.json,176
102,1009980,のに,のに,89,已校对前5%,True,0,のに,のに,definition_variant,False,1009980,False,True,1,1,11,2,11,314,term_bank_2.json,168
103,1008530,とか,とか,90,已校对前5%,True,0,とか,とか,definition_variant,False,1008530,False,True,1,1,19,2,19,676,term_bank_1.json,1906
104,1006670,そこ,そこ,91,已校对前5%,True,0,そこ,そこ,definition_variant,False,1006670,False,True,3,2,20,2,30,772,term_bank_1.json,1521
105,1579110,今日,きょう,93,已校对前5%,True,0,今日,きょう,definition_variant,False,1579110,False,True,4,1,8,3,32,358,term_bank_54.json,683
106,1013190,より,より,94,已校对前5%,True,0,より,より,definition_variant,False,1013190,False,True,1,1,20,5,20,597,term_bank_2.json,836
107,2016410,みたい,みたい,95,已校对前5%,True,0,みたい,みたい,definition_variant,False,2016410,False,True,1,1,5,1,5,108,term_bank_97.json,467
108,1600900,話,はなし,96,已校对前5%,True,0,話,はなし,definition_variant,False,1600900,False,True,4,2,46,12,92,1372,term_bank_58.json,320
109,1281020,考える,かんがえる,97,已校对前5%,True,0,考える,かんがえる,definition_variant,False,1281020,False,True,3,3,108,12,108,3222,term_bank_25.json,752
110,2029100,わ,わ,98,已校对前5%,True,0,わ,わ,definition_variant,False,2029100,False,True,1,1,9,1,9,168,term_bank_98.json,710
111,1315720,持つ,もつ,99,已校对前5%,True,0,持つ,もつ,definition_variant,False,1315720,False,True,1,1,23,3,23,557,term_bank_28.json,1481
112,1000580,あれ,あれ,100,已校对前5%,True,0,あれ,あれ,definition_variant,False,1000580;2847612;2859257,True,True,3,3,60,12,60,2933,term_bank_1.json,95
113,2847612,あれ,あれ,100,已校对前5%,True,0,あれ,あれ,definition_variant,False,1000580;2847612;2859257,True,False,5,2,20,2,50,341,term_bank_194.json,1268
114,2859257,あれ,あれ,100,已校对前5%,True,0,あれ,あれ,definition_variant,False,1000580;2847612;2859257,True,False,3,1,6,0,18,183,term_bank_205.json,1456
115,1465590,入る,はいる,101,已校对前5%,True,0,入る,はいる,definition_variant,False,1465590,False,True,2,2,106,22,106,4031,term_bank_43.json,724
116,2140410,なんだ,なんだ,102,已校对前5%,True,0,なんだ,なんだ,definition_variant,False,2140410,False,True,2,1,6,1,12,356,term_bank_109.json,997
117,1414150,大丈夫,だいじょうぶ,103,已校对前5%,True,0,大丈夫,だいじょうぶ,definition_variant,False,1414150,False,True,2,2,40,4,40,712,term_bank_38.json,770
118,1158880,違う,ちがう,106,已校对前5%,True,0,違う,ちがう,definition_variant,False,1158880,False,True,1,1,18,3,18,551,term_bank_13.json,1139
119,1188270,何か,なにか,108,已校对前5%,True,0,何か,なにか,definition_variant,False,1188270,False,True,2,1,9,2,18,339,term_bank_16.json,1103
120,1002940,かな,かな,109,已校对前5%,True,0,かな,かな,definition_variant,False,1002940,False,True,4,2,22,6,44,780,term_bank_1.json,736
121,2122310,え,え,110,已校对前5%,True,0,え,え,definition_variant,False,2122310,False,True,1,1,17,2,17,518,term_bank_107.json,1185
122,1008590,として,として,112,已校对前5%,True,0,として,として,definition_variant,False,1008590,False,True,1,1,12,3,12,672,term_bank_1.json,1911
123,1217730,顔,かお,113,已校对前5%,True,0,顔,かお,definition_variant,False,1217730,False,True,3,3,87,6,87,1606,term_bank_19.json,733
124,1221270,帰る,かえる,114,已校对前5%,True,0,帰る,かえる,definition_variant,False,1221270,False,True,2,1,9,2,18,297,term_bank_19.json,1403
125,1002290,お前,おまえ,115,已校对前5%,True,0,お前,おまえ,definition_variant,False,1002290,False,True,4,1,5,1,20,180,term_bank_1.json,543
126,2029120,さ,さ,119,已校对前5%,True,0,さ,さ,definition_variant,False,2029120,False,True,1,1,37,6,37,1636,term_bank_98.json,717
127,1348870,少し,すこし,120,已校对前5%,True,0,少し,すこし,definition_variant,False,1348870,False,True,3,1,15,2,45,342,term_bank_31.json,1718
128,1151260,悪い,わるい,121,已校对前5%,True,0,悪い,わるい,definition_variant,False,1151260,False,True,1,1,26,7,26,949,term_bank_12.json,1538
129,1163420,一緒に,いっしょに,125,已校对前5%,True,0,一緒に,いっしょに,definition_variant,False,1163420,False,True,1,1,4,0,4,72,term_bank_13.json,1972
130,1005900,じゃあ,じゃあ,126,已校对前5%,True,0,じゃあ,じゃあ,definition_variant,False,1005900,False,True,2,1,7,1,14,189,term_bank_1.json,1375
131,1451750,同じ,おなじ,127,已校对前5%,True,0,同じ,おなじ,definition_variant,False,1451750,False,True,2,2,24,2,24,459,term_bank_41.json,1858
132,1416830,誰,だれ,128,已校对前5%,True,0,誰,だれ,definition_variant,False,1416830,False,True,2,1,3,1,6,124,term_bank_38.json,1269
133,1009970,ので,ので,129,已校对前5%,True,0,ので,ので,definition_variant,False,1009970,False,True,2,1,16,1,32,431,term_bank_2.json,166
134,1012620,もっと,もっと,132,已校对前5%,True,0,もっと,もっと,definition_variant,False,1012620,False,True,1,1,5,1,5,109,term_bank_2.json,727
135,1198180,会う,あう,134,已校对前5%,True,0,会う,あう,definition_variant,False,1198180,False,True,4,2,18,4,36,892,term_bank_17.json,849
136,1259140,見える,みえる,135,已校对前5%,True,0,見える,みえる,definition_variant,False,1259140,False,True,1,1,11,3,11,556,term_bank_23.json,874
137,1006730,そして,そして,136,已校对前5%,True,0,そして,そして,definition_variant,False,1006730,False,True,6,2,12,2,36,329,term_bank_1.json,1538
138,1400150,早く,はやく,137,已校对前5%,True,0,早く,はやく,definition_variant,False,1400150,False,True,2,1,9,2,18,300,term_bank_36.json,1977
139,1277450,好き,すき,138,已校对前5%,True,0,好き,すき,definition_variant,False,1277450,False,True,1,1,18,2,18,401,term_bank_25.json,130
140,2859852,うち,うち,139,已校对前5%,True,0,うち,うち,definition_variant,False,2859852,False,False,4,1,3,0,12,318,term_bank_206.json,673
141,1004500,こっち,こっち,140,已校对前5%,True,0,こっち,こっち,definition_variant,False,1004500,False,True,5,5,105,25,105,4286,term_bank_1.json,1071
142,1338180,出す,だす,142,已校对前5%,True,0,出す,だす,definition_variant,False,1338180,False,True,1,1,32,8,32,1544,term_bank_30.json,1839
143,1013240,らしい,らしい,143,已校对前5%,True,0,らしい,らしい,definition_variant,False,1013240,False,True,1,1,10,0,10,357,term_bank_2.json,844
144,1305990,使う,つかう,145,已校对前5%,True,0,使う,つかう,definition_variant,False,1305990,False,True,2,1,16,3,32,635,term_bank_27.json,1630
145,1012810,やっぱり,やっぱり,147,已校对前5%,True,0,やっぱり,やっぱり,definition_variant,False,1012810,False,True,2,2,56,10,56,2102,term_bank_2.json,766
146,1008420,でしょう,でしょう,148,已校对前5%,True,0,でしょう,でしょう,definition_variant,False,1008420,False,True,2,1,10,2,20,463,term_bank_1.json,1893
147,2425930,なの,なの,149,已校对前5%,True,0,なの,なの,definition_variant,False,2425930,False,False,1,1,7,1,7,262,term_bank_136.json,359
148,1001140,ええ,ええ,150,已校对前5%,True,0,ええ,ええ,definition_variant,False,1001140,False,True,2,1,20,3,40,496,term_bank_1.json,194
149,1007660,ちゃん,ちゃん,151,已校对前5%,True,0,ちゃん,ちゃん,definition_variant,False,1007660,False,True,1,1,2,1,2,128,term_bank_1.json,1739
150,2158950,よう,よう,152,已校对前5%,True,0,よう,よう,definition_variant,False,2158950;2654310;2853599,True,False,5,2,24,0,60,542,term_bank_111.json,696
151,2654310,よう,よう,152,已校对前5%,True,0,よう,よう,definition_variant,False,2158950;2654310;2853599,True,False,1,1,11,0,11,363,term_bank_157.json,382
152,2853599,よう,よう,152,已校对前5%,True,0,よう,よう,definition_variant,False,2158950;2654310;2853599,True,False,3,2,14,0,21,134,term_bank_200.json,806
153,1419990,男,おとこ,153,已校对前5%,True,0,男,おとこ,definition_variant,False,1419990,False,True,2,2,32,4,32,607,term_bank_39.json,28
154,1006380,ずっと,ずっと,154,已校对前5%,True,0,ずっと,ずっと,definition_variant,False,1006380,False,True,2,1,18,4,36,618,term_bank_1.json,1467
155,1327190,手,て,155,已校对前5%,True,0,手,て,definition_variant,False,1327190,False,True,1,1,39,5,39,965,term_bank_29.json,1783
156,1516930,方,ほう,156,已校对前5%,True,0,方,ほう,definition_variant,False,1516930,False,True,1,1,17,1,17,386,term_bank_48.json,173
157,1007370,だけど,だけど,157,已校对前5%,True,0,だけど,だけど,definition_variant,False,1007370,False,True,1,1,4,1,4,224,term_bank_1.json,1686
158,1611580,本当に,ほんとうに,158,已校对前5%,True,0,本当に,ほんとうに,definition_variant,False,1611580,False,True,2,1,3,1,6,95,term_bank_59.json,1712
159,1604890,目,め,159,已校对前5%,True,0,目,め,definition_variant,False,1604890,False,True,2,2,108,8,108,2900,term_bank_58.json,1840
160,1535880,戻る,もどる,160,已校对前5%,True,0,戻る,もどる,definition_variant,False,1535880,False,True,1,1,8,1,8,212,term_bank_49.json,1609
161,2667510,よね,よね,162,已校对前5%,True,0,よね,よね,definition_variant,False,2667510,False,True,2,1,4,1,8,203,term_bank_158.json,972
162,1597890,作る,つくる,163,已校对前5%,True,0,作る,つくる,definition_variant,False,1597890,False,True,3,3,120,18,120,4323,term_bank_57.json,1139
163,1315920,時間,じかん,164,已校对前5%,True,0,時間,じかん,definition_variant,False,1315920,False,True,1,1,7,2,7,270,term_bank_28.json,1534
164,1012050,まあ,まあ,165,已校对前5%,True,0,まあ,まあ,definition_variant,False,1012050,False,True,4,1,24,1,96,449,term_bank_2.json,625
165,1009330,どんな,どんな,166,已校对前5%,True,0,どんな,どんな,definition_variant,False,1009330,False,True,1,1,14,3,14,557,term_bank_2.json,63
166,1310730,死ぬ,しぬ,168,已校对前5%,True,0,死ぬ,しぬ,definition_variant,False,1310730,False,True,1,1,8,1,8,169,term_bank_28.json,420
167,1466940,どうして,どうして,169,已校对前5%,True,0,どうして,どうして,definition_variant,False,1466940,False,True,2,2,26,4,26,680,term_bank_43.json,944
168,1562350,話す,はなす,170,已校对前5%,True,0,話す,はなす,definition_variant,False,1562350,False,True,2,1,14,3,28,358,term_bank_52.json,951
169,1001200,おい,おい,172,已校对前5%,True,0,おい,おい,definition_variant,False,1001200,False,True,2,1,9,1,18,201,term_bank_1.json,217
170,1366770,人間,にんげん,173,已校对前5%,True,0,人間,にんげん,definition_variant,False,1366770,False,True,1,1,8,1,8,321,term_bank_33.json,1392
171,1382980,つもり,つもり,176,已校对前5%,True,0,つもり,つもり,definition_variant,False,1382980,False,True,3,2,26,4,39,721,term_bank_35.json,551
172,1011710,ほら,ほら,177,已校对前5%,True,0,ほら,ほら,definition_variant,False,1011710,False,True,2,1,6,1,12,91,term_bank_2.json,533
173,1008340,である,である,178,已校对前5%,True,0,である,である,definition_variant,False,1008340,False,True,1,1,5,1,5,106,term_bank_1.json,1872
174,1586820,ありがとう,ありがとう,179,已校对前5%,True,0,ありがとう,ありがとう,definition_variant,False,1586820,False,True,3,1,3,1,9,88,term_bank_55.json,1031
175,1380440,声,こえ,180,已校对前5%,True,0,声,こえ,definition_variant,False,1380440,False,True,2,1,19,3,38,669,term_bank_35.json,6
176,1266440,呼ぶ,よぶ,181,已校对前5%,True,0,呼ぶ,よぶ,definition_variant,False,1266440,False,True,2,2,34,10,34,1425,term_bank_24.json,248
177,1007720,ちゃんと,ちゃんと,182,已校对前5%,True,0,ちゃんと,ちゃんと,definition_variant,False,1007720,False,True,1,1,18,1,18,328,term_bank_1.json,1744
178,2615440,ため,ため,185,已校对前5%,True,0,ため,ため,definition_variant,False,2615440,False,False,2,1,3,1,6,110,term_bank_153.json,550
179,1191730,家,いえ,186,已校对前5%,True,0,家,いえ,definition_variant,False,1191730,False,True,1,1,10,2,10,262,term_bank_16.json,1688
180,1589600,終わる,おわる,188,已校对前5%,True,0,終わる,おわる,definition_variant,False,1589600,False,True,6,2,40,6,120,1248,term_bank_56.json,45
181,1358280,食べる,たべる,190,已校对前5%,True,0,食べる,たべる,definition_variant,False,1358280,False,True,1,1,6,2,6,237,term_bank_32.json,1593
182,1519210,忘れる,わすれる,193,已校对前5%,True,0,忘れる,わすれる,definition_variant,False,1519210,False,True,1,1,5,0,5,97,term_bank_48.json,595
183,1316380,次,つぎ,194,已校对前5%,True,0,次,つぎ,definition_variant,False,1316380,False,True,1,1,6,1,6,142,term_bank_28.json,1596
184,1521400,僕,ぼく,196,已校对前5%,True,0,僕,ぼく,definition_variant,False,1521400,False,True,2,1,7,2,14,325,term_bank_48.json,954
185,1005460,しか,しか,197,已校对前5%,True,0,しか,しか,definition_variant,False,1005460,False,True,1,1,6,2,6,251,term_bank_1.json,1287
186,2194050,えっ,えっ,199,已校对前5%,True,0,えっ,えっ,definition_variant,False,2194050,False,False,1,1,4,1,4,89,term_bank_114.json,1818
