jmdict_id,term,g,t,field_id,kind,severity,old,new,reason,shard,batch
2177120,ばかりか,2247,1,f113e439t1,example,minor,她不仅美丽，而且心地善良，而且聪明。,她不仅美丽，而且心地善良、聪明。,日文将心地善良与聪明并列递进，旧译重复两次‘而且’，句子不通顺。,1,14
1043100,ギャラリー,2266,7,f4e1490t7,xref,major,楼座（剧院）；楼座；廉价座位区；高价位区；楼座,楼座（剧院）；楼座；廉价座位；高层看台（视线较差的远端座位）；最高层看台,nosebleed section 是剧院/体育场中高处偏远的看台座位，绝非‘高价位区’；the gods 指剧院最高层看台。,1,14
1436110,底無し,2279,0,f40e850t0,gloss,critical,底,深不见底的,bottomless 是‘深不见底的’，旧译‘底’只是名词，不能表达释义。,1,14
1436110,底無し,2279,1,f40e850t1,gloss,critical,底价,深不可测的,endlessly deep 指深不可测，旧译‘底价’是价格低廉之意，完全不符。,1,14
1436110,底無し,2279,2,f40e850t2,gloss,major,底知れぬ,无限的,infinite 应译为无限的，旧译日文‘底知れぬ’不是中文。,1,14
1556190,令嬢,2283,0,f51e1556t0,gloss,major,令（尊）女,令爱（对他人女儿的敬称）,（your）daughter 的汉语敬称为令爱/令千金，‘令（尊）女’不成立。,1,14
1556190,令嬢,2283,1,f51e1556t1,gloss,minor,令（尊）女,小姐（敬称）,young woman 的敬称可称小姐，旧译‘令（尊）女’仍是含混的字面拼凑。,1,14
1556190,令嬢,2283,2,f51e1556t2,xref,major,令（尊）女；令（尊）女,令爱；年轻小姐,xref 的 your daughter; young woman 应分别译作令爱和年轻小姐，旧译重复错误称谓。,1,14
2670970,覚しき,2297,0,f158e1680t0,gloss,critical,覚しき,似乎（是）,seeming (to be) 是‘似乎（是）’，旧译原样残留日文词头。,1,14
2670970,覚しき,2297,1,f158e1680t1,gloss,critical,覚しき,看起来；似乎,appearing 表示看起来、似乎，旧译残留日文词头。,1,14
2670970,覚しき,2297,2,f158e1680t2,gloss,critical,覚しき,显然；看来,apparently 应译为显然/看来，旧译残留日文词头。,1,14
1328990,趣旨,2299,3,f30e127t3,gloss,major,效果,大意,趣旨在‘speak to the effect that…’中表示话语的内容/大意，不是事件产生的效果。,1,15
1110870,フォン,2325,0,f9e1528t0,gloss,critical,电话（响度单位）,方（响度单位）,phon 是响度单位‘方’，不是电话；‘电话’是把音译词 phon 误认成 phone。,1,15
1041620,キャップ,2400,0,f4e1273t0,gloss,minor,帽子（帽）,帽子,cap (hat) 指帽子，旧译‘帽子（帽）’括注重复且不自然。,1,15
1023340,インチキ,2436,6,f3e364t6,gloss,major,非法的,冒牌的,bogus 指假的、冒牌的，不能只译为‘非法的’。,1,15
1846980,魅入る,2444,0,f83e13t0,gloss,major,使着迷,着迷,魅入る标注为不及物且通常用于被动态，中文应表达主体着迷/被迷住，而不是‘使他人着迷’。,1,15
1846980,魅入る,2444,1,f83e13t1,gloss,major,使着迷,着迷,魅入る是不及物用法，‘使着迷’误成使役，改为状态义‘着迷’。,1,15
1846980,魅入る,2444,2,f83e13t2,gloss,major,使着迷,着迷,该词不及物且常用于被动，中文‘使着迷’颠倒了语义施受关系。,1,15
1846980,魅入る,2444,3,f83e13t3,gloss,major,使着迷,着迷,该词不及物且常用于被动，中文‘使着迷’误为主动使役。,1,15
1846980,魅入る,2444,4,f83e13t4,gloss,major,使着迷,着迷,该词不及物且常用于被动，中文‘使着迷’误为主动使役。,1,15
1610470,手際よく,2480,2,f59e1459t2,gloss,minor,擅长地,熟练地,adroitly 是熟练、灵巧地，‘擅长地’不是自然的中文副词搭配。,1,16
1486670,美容,2498,4,f45e690t4,example,major,吃零食对容貌有害。,吃零食对身材有害。,英文 the figure 在此指身材，日文美容也与外形保养相关，不是容貌/脸部。,1,16
1450460,逃避,2522,3,f41e1657t3,example,major,你之前做的不过是逃避现实罢了。,你现在做的不过是在逃避现实。,日文前のやっていること和英文 All you're doing 均指当前所做的事，旧译‘之前做的’误成过去行为。,1,16
1413070,大雨,2551,3,f38e609t3,example,minor,昨天是大雨。,昨天下了场大雨。,had a heavy rain/昨日は大雨だった应自然地表达为昨天下大雨，旧译‘昨天是大雨’搭配不当。,1,16
1376010,政治的,2564,1,f34e1097t1,example,minor,国会的动向成了围绕这一问题执政党与在野党之间的政治拔河。,国会的动向成了围绕这一问题执政党与在野党之间的政治角力。,political tug of war/政治的綱引き在中文自然表达为政治角力，‘政治拔河’是生硬直译。,1,16
1138570,ラウンド,2569,3,f11e1628t3,gloss,major,回合,（高尔夫）一轮,高尔夫 round 指打一轮球，而‘回合’主要用于拳击或对抗比赛的轮次。,1,16
1404240,即席,2609,4,f37e938t4,gloss,major,脱稿的,即兴的,off-the-cuff 表示未经准备、即兴说出的，‘脱稿的’只表示不看稿，不能保证未经准备。,1,16
1441400,点く,2623,0,f40e1823t0,gloss,major,点燃,亮起（灯、炉等）,点く是不及物，灯或炉自行亮起/点着，‘点燃’是及物操作。,1,16
1441400,点く,2623,5,f40e1823t5,xref,major,⑨ 点燃；着火；点燃；开启（灯、电器等）,⑨ 亮起；着火；引燃；开启（灯、电器等）,xref 释义中 to be lit 应译‘亮起’，ignite 对应‘引燃’，旧译两次重复‘点燃’并混淆及物性。,1,16
1850420,解明す,2640,3,f83e828t3,example,critical,在父亲怀抱中的独生子神，已被祂所阐明。,那在父怀里的独生子神，已将神显明出来。,日文说独生子神向人解明/显明神，旧译‘已被祂所阐明’把主动启示颠倒成被动、且未表达‘使神显明’。,1,17
1387850,先手を打つ,2727,3,f35e1572t3,example,minor,他刚要说什么，但我抢先一步先说了。,他刚要说什么，但我抢先说了。,beat him to it 已包含抢先之意，旧译‘抢先一步先说’重复‘先’。,1,17
2081420,満ち溢れる,2754,1,f103e1069t1,gloss,minor,溢出,满溢着,to be overflowing with 是充满、洋溢，孤立译为‘溢出’像液体溢出容器，不能自然搭配希望、青春等抽象对象。,1,17
2728600,肩の力を抜く,2768,0,f164e713t0,gloss,major,卸下肩上的重担,放松肩膀,肩の力を抜く/let the tension out of one's shoulders 指放松肩部紧张，‘卸下重担’改成了卸除责任或压力。,1,17
2154730,忍びない,2803,0,f110e1987t0,gloss,major,无法忍受,不忍心（做）,忍びない指于情不忍做某事，不能忍受某事更像一般耐受能力；例句也应表达不忍心看。,1,17
2154730,忍びない,2803,1,f110e1987t1,gloss,major,无法做到,不忍心去做,cannot bring oneself to do 表示心理上不忍心做，旧译‘无法做到’可能误作能力不足。,1,17
2154730,忍びない,2803,4,f110e1987t4,example,major,我无法忍受看到那样的场面。,我不忍心看那样的场面。,見るに忍びなかった/couldn't bear to see 表示不忍心看，‘无法忍受看到’搭配不当且忽略情感上的不忍。,1,17
1522400,本拠地,2820,1,f48e1132t1,gloss,major,内心堡垒,内堡,inner citadel 指内堡/内城堡，‘内心堡垒’将 citadel 误解为人的内心。,1,18
1281100,考案,2827,7,f25e766t7,example,major,弗洛伊德发明了精神分析。,弗洛伊德创立了精神分析学说。,弗洛伊德提出并创立的是精神分析理论/学说，‘发明精神分析’不符合其学术语境。,1,18
1165570,一年間,2839,1,f14e400t1,example,minor,他一直在东京住了一年。,他在东京住了一年了。,has been in Tokyo for a year/一年来一直在东京表示延续至今，旧译‘一直……住了一年’时态搭配不自然。,1,18
1482910,否む,2868,2,f45e27t2,example,critical,他告白后拒绝了。,他确实坦白了。,did not fail to confess 表示他确实坦白/承认，旧译‘告白后拒绝了’将否定关系和谓语弄反。,1,18
1328410,手立て,2911,2,f30e0t2,example,minor,离开这座岛的办法是没有的。,没有办法离开这座岛。,There's no way off the island 表示没有办法离岛，旧译倒装‘办法是没有的’生硬。,1,18
1107300,ピンポイント,2925,0,f9e988t0,gloss,major,针尖,精确位置,pinpoint 指精确的点/位置，不是物理意义的针尖。,1,18
1478520,判決,2995,3,f44e1245t3,gloss,minor,宣判,刑罚,sentence 在判决语境中指所判处的刑罚；旧译‘宣判’是宣告判决这一动作，词性和含义不合。,1,19
1588600,浮つく,3063,4,f55e1688t4,gloss,minor,头晕,飘飘然,浮つく的 giddy 指因兴奋而轻飘、忘乎所以，不是身体头晕；日文词义亦是浮躁轻率。,1,19
1522050,幾ど,3164,7,f48e1087t7,gloss,major,除……外,几乎,all but 作副词意为几乎、差不多，旧译‘除……外’表达排除关系，语义相反。,1,20
1522050,幾ど,3164,20,f48e1087t20,example,minor,她几乎把一生都用来照顾穷人。,她大半生都在照顾穷人。,most of her life/人生のほとんど指大半生，旧译‘几乎一生’程度偏高。,1,20
