review_stage,jmdict_id,term,reading,field_id,kind,source_en,source_ja,current_zh,reviewer_note_unverified
increment_5_to_20pct,1662610,残党,ざんとう,f64e1352t2,gloss,refugees,,难民,日文词头残党指某派别/军队的残余者，与英文 refugees 及中文‘难民’不相符；现有字段来源冲突，无法判断应按日文词头还是英语释义校正。
increment_5_to_20pct,1605850,擁護,ようご,f59e209t4,gloss,championship,,辩护,擁護表示拥护/辩护，但英文 championship 字面为锦标赛或冠军身份，二者来源冲突；无法确定是英文源误写还是该义翻译错误。
increment_5_to_20pct,1633860,破ける,やぶける,f61e1821t2,gloss,to be frustrated,,受挫,词头破ける通常指破裂/撕开，英文 frustrated 及中文‘受挫’不匹配；可能为来源义错配，无法从现有日英字段可靠判断。
increment_5_to_20pct,1499770,風化,ふうか,f46e938t3,gloss,efflorescence,,风花,chemistry 义 efflorescence 的规范中文术语不确定；原译“风花”显然像字面误译，但其应对应风化、风解还是其他专业术语，需要可靠术语来源确认，故保留原文。
increment_5_to_20pct,1499770,風化,ふうか,f46e938t4,xref,efflorescence,,风花,xref 同样指 efflorescence，中文术语不确定；按要求将疑点限定为引用对象释义，不擅自修改。
increment_5_to_20pct,1225880,義母,ぎぼ,f20e476t0,gloss,mother-in-law,,岳母,英文只给出泛称 mother-in-law，而中文“岳母”专指妻子的母亲；现有字段未交代说话者性别或姻亲方向，需语境确认更合适的中文泛称，暂不改。
increment_5_to_20pct,2580350,裏スジ,うらスジ,f149e1672t0,gloss,urasuji,,ura-suji,麻将专门术语 urasuji 的标准简体中文译名未能凭当前字段确认；保留音译并记录疑点，避免按字面臆改。
increment_5_to_20pct,1601220,反復,はんぷく,f58e435t4,gloss,recursion,,递归,计算机语境下日文反復通常对应重复/迭代，而当前英译给 recursion、中文给递归；无法判断是英文源释义错误还是该条日文用法特指递归，保留原文并记录源文冲突。
increment_5_to_20pct,2854296,モール,モール,f201e135t0,gloss,maul (rugby),,橄榄球中的 Maul（ Maul 动作）,rugby maul 的标准简体中文译名需要专业体育术语确认；保留 Maul 音形，不自行造译。
increment_5_to_20pct,2077470,下手に出る,したてにでる,f103e243t1,example,"That's right. It's written in an unassuming fashion, and it's an ethical standpoint as well.",そうですね。下手にでてばかりもなんだし。かつ、倫理的ですね。,是的。写得并不张扬，而且，是伦理的。,例句英文谈谦逊写法与伦理立场，而日文实际是“不能总是摆低姿态，而且也很伦理”；句间对应存在来源冲突，保留原译并记录疑点。
increment_5_to_20pct,1254660,結び目,むすびめ,f23e14t1,example,Maintaining that tie is important.,その結(むす)び目(め)を守(まも)るのは重(じゅう)要(よう)なことだ。,保住那个结很重要。,EN将結び目对应为tie，JA是字面‘结/纽结’，ZH‘保住那个结’很不自然；上下文缺失，无法确认这里指实际绳结还是关系纽带，暂不改。
increment_5_to_20pct,1594530,終い,しまい,f56e1884t5,gloss,noh dance in plain clothes,,素面舞,该义标注为能乐术语，英文说明便服中的能舞，当前‘素面舞’可能指不戴面具而非不穿戏服；需专业术语核实，暂不改。
increment_5_to_20pct,2827320,突きこむ,つきこむ,f175e617t27,xref,⑤ to get involved with; to meddle in; to poke one's nose into,,⑤ 介入；插手；插手,这个xref字段编号为⑤且释义重复sense 5，但组内sense 6是riposte/retort/quip；引用源结构与字段语义冲突，不能可靠判定应引用哪个对象，先保留。
increment_5_to_20pct,1837530,揃いも揃って,そろいもそろって,f82e84t2,gloss,all a bunch of,,一个不少,all a bunch of带有口语和评价语气，脱离后接成分无法选定稳定的中文完整对应；‘一个不少’虽较平淡但语义基本成立，暂不改。
increment_5_to_20pct,1437630,哲学的,てつがくてき,f40e1109t1,example,This is a socio-linguistic study on Steven Emmet.,これはスティーブン・エメットに関(かん)する哲(てつ)学(がく)的(てき)研(けん)究(きゅう)ではない。,这不是关于斯蒂芬·埃梅特的哲学研究。,"Japanese example and existing Chinese both say ‘not a philosophical study’, while EN says socio-linguistic study; original language fields conflict on the negated discipline, so retain the Chinese aligned with Japanese and flag the source discrepancy."
increment_5_to_20pct,1077100,ダブる,ダブる,f7e511t3,xref,① double,,① 双人,此xref只给出英文double，中文‘双人’明显不自然，但缺少引用对象语境，可能指棒球二垒安打或其他double义，需核对源结构后确定。
increment_5_to_20pct,1285270,合法,ごうほう,f25e1459t3,example,A discussion of the proposal seems to be in order.,その議(ぎ)論(ろん)に関(かん)する討(とう)論(ろん)は合(ごう)法(ほう)であるようだ。,关于该提案的讨论似乎合情合理。,日文和现有中文都说该讨论似乎合法，而英文 says a discussion seems to be in order（似乎合适/有必要）；源文对合法性与合宜性的判断冲突，暂保留。
increment_5_to_20pct,2836146,してやったり,してやったり,f183e1694t0,gloss,got you!,,抓到你了！,EN got you而日文してやったり可表示得意地成功/抓住对方，缺少语境难分是‘得手了’还是‘抓到你了’，暂不改。
increment_5_to_20pct,2836146,してやったり,してやったり,f183e1694t1,gloss,tricked you!,,骗到你了！,字段EN是tricked you，但普通表达してやったり带有得意成功的语气，是否具体指骗过对方取决于语境，保留并记疑。
increment_5_to_20pct,1279860,江,え,f25e541t0,gloss,inlet,,入水口,江在地理语境可指海湾、河口或海湾状水域；英文 inlet 与现有“入水口”均不足以唯一确定本条应采用的中文地理术语。
increment_5_to_20pct,2851589,唐梨,からなし,f198e643t1,xref,② flowering quince (of genus Chaenomeles) (Pseudocydonia sinensis); Chinese quince (Chaenomeles sinensis),,② 花叶海棠（Chaenomeles属）（Pseudocydonia sinensis）；中国梨（Chaenomeles sinensis）,交叉引用英文同时把 Pseudocydonia sinensis 与 Chaenomeles 属、Chaenomeles sinensis 混列；植物学名的分类映射与英文普通名存在来源冲突，未据此改动译文。
increment_5_to_20pct,1902500,払い落とす,はらいおとす,f87e84t2,example,She shook the rug to get dust out of it.,彼(かの)女(じょ)はごみを払(はら)い落(お)とすためにここに集(あつ)まった。,她为了掸去灰尘，把这里收拾了一下。,日文例句字面是“她为了掸落垃圾而聚到这里”，英文却是摇地毯去灰尘，语境内容冲突；现有中文也不忠实日文，需确认源例句后才能定稿。
increment_5_to_20pct,1933150,虚脱感,きょだつかん,f89e795t0,gloss,despondency,,虚脱感,日文虚脱感通常指身心耗竭后的空虚、乏力感，英文 despondency 则偏情绪消沉，旧译“虚脱感”贴近日文但未解决源义冲突；需确认本词条想表达的义项。
increment_5_to_20pct,1290460,混戦,こんせん,f26e660t3,example,There Akai joins them and it becomes a free-for-all in front of the finish line.,そこに赤(あか)井(い)選(せん)手(しゅ)も加(くわ)わり、ゴール前(まえ)は混(こん)戦(せん)模(も)様(よう)となった。,赤井选手也加入了进来，门前顿时陷入混战。,ゴール前在日文中可指球门前或终点线前；英文指finish line，现译‘门前’不清楚，但仅凭所给语境无法确认具体比赛项目与最佳中文场景词。
increment_5_to_20pct,2848718,パオ,パオ,f195e1350t0,gloss,batons (suit),,棒子（花色）,パオ在此标注为纸牌游戏术语，英文仅释为batons牌组；缺少所用牌制/中文标准花色对应信息，无法确认应译为权杖、棍棒或其他牌名，暂保留原译。
increment_5_to_20pct,1109070,フィジカル,フィジカル,f9e1257t0,gloss,physical,,物理的,フィジカル / physical可指身体层面，也可指物理层面；现有条目没有语境或义项标签，无法仅凭该字段判定‘物理的’是否误译，保留原文。
increment_5_to_20pct,1117960,プロモーション,プロモーション,f10e609t0,gloss,promotion,,促销,プロモーション / promotion可指促销宣传，也可指晋升等；仅有裸词条，没有语境或标签判断中文‘促销’是否过窄，故保留。
increment_5_to_20pct,2841465,アウトロー,アウトロー,f189e12t0,gloss,low and away (pitch),,低平且偏离的球,baseball术语low and away可能对应低外角球/低外侧球，‘低平且偏离的球’表达不够专业，但缺少可靠的中文术语依据，保留原译待核。
increment_5_to_20pct,1539670,勇み足,いさみあし,f50e286t2,gloss,forward step-out,,前冲步,sumo术语forward step-out可能指因向前冲而踏出土俵的犯规；‘前冲步’过于泛化，但缺少可靠中文相扑术语依据，保留原文。
increment_5_to_20pct,1180920,横着,おうちゃく,f15e1611t4,gloss,brazenly dishonest,,放肆,英文释义brazenly dishonest含‘厚颜无耻地不诚实’，日文横着主要指放肆/蛮横，原译放肆符合日文但未体现英文dishonest；来源义项侧重点冲突，无法可靠定改。
increment_5_to_20pct,2057720,ダンディ,ダンディ,f101e511t2,gloss,esthete,,美学家,esthete指审美鉴赏者/唯美主义者等专门概念，中文‘美学家’可能误指学术研究者；缺少上下文判断其具体范围，保留待术语核实。
increment_5_to_20pct,2856681,フィル,フィル,f203e409t0,gloss,fill,,填充,音乐术语fill通常指填补乐句/节奏空隙的短句或过门，具体中文术语随乐器和语境而变；此处只有孤立术语，无法可靠选择。
increment_5_to_20pct,1549220,卵子,らんし,f51e269t1,gloss,ovule,,胚珠,英语ovule通常指植物胚珠，但词头卵子指动物雌性生殖细胞；原英文术语与日文词头不一致，当前‘胚珠’仅符合英语，无法在不核对源条目的情况下确定是否应改。
increment_5_to_20pct,2869724,くりっ,くりっ,f215e1427t3,gloss,vividly (moving; esp. of eyes),,生动（移动；尤其指眼睛）,くりっ作为拟态词的‘vividly (moving; esp. of eyes)’释义较少见，中文‘生动（移动）’不通顺但缺少具体语境判断其应指转动灵活、突然转向或其他眼部动作，暂缓定改。
increment_5_to_20pct,2829287,計算式,けいさんしき,f177e425t3,gloss,calculus,,微积分,計算式意为数学算式/公式，英语calculus既可指微积分学也可指计算方法；‘微积分’符合英语专门义但与日文词头范围不一致，需核对原条目来源，暂不改。
increment_5_to_20pct,2657610,発想力,はっそうりょく,f157e1016t0,gloss,expressive power,,表现力,日文発想力是创造/构思能力，英文expressive power通常是表达能力，现有‘表现力’符合英语但与日文义项不完全一致；原字段可能存在源释义分歧，暂不改。
increment_5_to_20pct,2240210,呂,りょ,f119e1879t4,gloss,"Japanese seven-tone gagaku scale similar to Mixolydian mode (corresp. to: re, mi, fa, so, la, ti, do)",,"日本七音雅乐音阶，类似混合利底亚调式（对应：re, mi, fa, so, la, ti, do）",源释义称该雅乐音阶类似 Mixolydian，却列出 re-mi-fa-so-la-ti-do 音列；该音列与调式名不一致，无法仅凭词条确认应优先哪一项，保留现译。
increment_5_to_20pct,2826200,塩対応,しおたいおう,f174e469t5,xref,"incredible response (company dealing with a complaint, celebrity dealing with fans, etc.); incredible service",,令人难以置信的回应（如处理投诉的公司、应对粉丝的名人等）；令人难以置信的服务,xref 英文 incredible response/service 可能褒义指令人惊叹的优质回应，也可能按字面理解为难以置信；未能从当前字段确定源义，保留原译。
increment_5_to_20pct,1842190,刷り込み,すりこみ,f82e1029t1,gloss,stenciling,,丝网印刷,英文 stenciling 泛指用模板转印，但筛网印刷本身也属于模板印刷；缺少领域/制作方式信息，无法判断原译“丝网印刷”是否过窄，暂保留并标记术语待核。
increment_5_to_20pct,1087380,トロイ,トロイ,f7e1990t0,gloss,troy,,特洛伊的,トロイ 既可指特洛伊（例句明确是城市），而该字段信息又限定为金银等用的重量制；英文 troy 单独不足以判断本字段应保留地名还是改译重量单位，源条目语义混合。
increment_5_to_20pct,2838082,陳,ちん,f185e1567t2,gloss,Chen dynasty (of China; 557-589 BCE),,陈朝（中国朝代；公元557年—589年）,英文字段给陈朝年代标为557–589 BCE，而中文写作公元557–589年；权威资料确认陈朝是公元557–589年，所以中文现译应保留，但英文源文存在相反的年代标注，需上游确认。
increment_5_to_20pct,1439610,天然記念物,てんねんきねんぶつ,f40e1472t1,gloss,"protected species (animal, habitat, etc.)",,保护物种（动物、栖息地等）,英文将此义标作 protected species，却举 habitat（栖息地）为例；栖息地并非物种。中文当前直译这一分类冲突，需核对 JMdict 英文定义/源条目意图后再定。
increment_5_to_20pct,1360950,心不全,しんふぜん,f33e116t1,example,"Mimura Yasuyuki (Konichika LTD, Managing Director) died of heart attack on the third, age 45.",三村・泰之氏（みむら・やすゆき＝コニチカ株式会社取締役）三日、心不全で死去。４５歳。,三村泰之（株式会社“欢迎”董事）于3日因心力衰竭去世，享年45岁。,日文和中文都写心不全/心力衰竭，英文却写 heart attack（心肌梗死/心脏病发作）；中文遵从日文，源字段之间冲突，需上游确认英文是否误标。
increment_5_to_20pct,1106830,ピット,ピット,f9e912t3,gloss,pit (of a bowling alley),,保龄球沟,这是保龄球语境的 pit，可能指球道末端球瓶区或球沟；缺少权威术语核对，不能确认“保龄球沟”是否准确。
increment_5_to_20pct,1382530,石灰,せっかい,f35e455t2,gloss,caustic lime,,熟石灰,术语 caustic lime 的资料对其对应 quicklime（生石灰）还是 hydrated/slaked lime（熟石灰）存在用法差异；已有另一英文 gloss quicklime/中文生石灰，需专业源词表确认此项，暂不擅改。
increment_5_to_20pct,1795630,起爆剤,きばくざい,f77e1948t2,gloss,primer,,引信,primer 在起爆/弹药术语中可指底火、起爆药或起爆部件；该条同时列 detonator、priming 和 primer，需专业术语源确认后才能确定中文对应，暂保留“引信”。
increment_5_to_20pct,2825895,正拳突き,せいけんづき,f173e1896t0,gloss,thrusting technique,,正拳突,空手道正拳突き有特定技术名，中文译法可能是“正拳突/正拳冲拳”；当前“正拳突”是否为规范术语无法从一般义可靠确定，暂不改。
increment_5_to_20pct,1267480,股関節,こかんせつ,f24e428t1,gloss,coxa,,髋骨,Coxa 在解剖学可指髋部/髋关节区域，也可指髋骨；但 source gloss 同时把它列作 hip joint 同义词。现译“髋骨”对应骨而非关节，需核对专业词表及英文源定义。
increment_5_to_20pct,2198900,持ち越し,もちこし,f115e878t3,gloss,hangover,,宿醉,英语 hangover 可指宿醉，也可泛指前一阶段遗留下来的影响/存量；该条日语义为持ち越し，中文“宿醉”是否为某种特定用法无法从上下文确认，暂不改。
increment_5_to_20pct,2595880,管理会社,かんりがいしゃ,f151e751t2,gloss,proprietary company,,业主公司,英文 proprietary company 与「管理会社」的对应关系不清楚，可能涉及特殊公司制度或源文错配；仅凭当前字段无法可靠确定中文释义。
increment_5_to_20pct,1386130,窃盗犯,せっとうはん,f35e1185t0,gloss,theft,,盗窃,窃盗犯是指实施盗窃的人（盗窃犯/窃贼），但英文给的是 theft（盗窃行为/罪名）；日英词性和对象冲突，暂不擅改。
increment_5_to_20pct,1506230,兵員,へいいん,f47e231t0,gloss,military strength,,兵力,日文兵員指军队人员，英文 military strength 更像兵力/军事力量；可能是源文义项不一致，暂不能据此确定准确中文范围。
increment_5_to_20pct,2114350,科捜研,かそうけん,f106e1557t0,gloss,forensic researcher,,法医研究员,科捜研是科學搜查研究所/法医科学研究机构的简称，英文却给 forensic researcher（研究人员），日英在机构与个人间冲突，暂不据英文改译。
increment_5_to_20pct,1291430,査察,ささつ,f26e852t2,example,Korea allowed an inspection by the IAEA.,朝(ちょう)鮮(せん)は国(こく)際(さい)原(げん)子(し)力(りょく)委(い)員(いん)会(かい)の査(さ)察(さつ)を受(う)け入(い)れた。,朝鲜接受了国际原子能机构的检查。,英文只写 Korea，日文「朝鮮」也可能泛指朝鲜/韩国历史称谓，不能据此确定应译“朝鲜”还是“韩国”，暂保留。
increment_5_to_20pct,1044430,クリーナー,クリーナー,f4e1701t0,gloss,cleaner,,清洁工,クリーナー / cleaner 可指清洁剂、清洁设备或清洁工；当前缺少上下文，无法确定目标词性和具体对象，保留原译。
increment_5_to_20pct,2847387,ツーリング,ツーリング,f194e832t0,gloss,tooling,,工具,词头ツーリング通常可指 touring，但该 sense 的 EN 明确给 tooling；现有字段没有上下文来裁定日英源冲突，保留原译并标记待核。
increment_5_to_20pct,1292080,債権,さいけん,f26e966t2,example,Bonds together with some money was stolen.,債(さい)権(けん)と一(いっ)緒(しょ)にお金(かね)も盗(ぬす)まれた。,债券连同一些钱一起被盗了。,日文債権意为债权/债务请求权，英文 Bonds 则是债券；例句源文存在实质冲突，现有中文跟随英文写作‘债券’，无法仅凭该条确认预期义项，暂保留。
increment_5_to_20pct,1389770,専業,せんぎょう,f35e1900t3,gloss,monopoly,,垄断,日文専業更直接指单一/专门经营的职业或业务；英文 monopoly 才对应经济学‘垄断’。缺少词条上下文，无法判断该英文 gloss 是否特指独占经营，暂保留现译并标记语义不完全对应。
increment_5_to_20pct,1997980,大量虐殺,たいりょうぎゃくさつ,f95e857t1,gloss,genocide,,种族灭绝,大量虐殺在日文通常指大规模屠杀，英文 genocide 限定种族灭绝；两者范围不同，缺少语境无法决定该英译是否为该条预期义项，暂保留。
increment_5_to_20pct,2854379,バイス,バイス,f201e279t3,xref,vice-president,,副总统,xref 仅给出泛指职位 vice-president，中文‘副总统’限定国家职位，而‘副总裁’适用于企业；缺少引用对象上下文无法确定，暂保留。
increment_5_to_20pct,1672050,無自覚,むじかく,f65e1465t4,gloss,apathetic,,无自觉的,EN apathetic 指冷漠、漠不关心，但日语無自覚及该组其他释义指缺乏自觉或意识；两种源义存在冲突，无法可靠决定应以哪一义为准。
increment_5_to_20pct,1380350,聖人,せいじん,f34e1994t6,gloss,refined sake,,精酿清酒,聖人用于清酒的历史性专门义；英语 refined sake 与现译“精酿清酒”的工艺含义可能有偏差，未能可靠确定适当中文术语，保留原文。
increment_5_to_20pct,1098430,バスケット,バスケット,f8e1619t4,gloss,basket cloth,,篮布,basket cloth 是罕见/语境不足的布料术语，现译“篮布”对应关系无法可靠确认，保留原文。
increment_5_to_20pct,2081050,宮,みや,f103e1002t1,example,"In the temple courts he found men selling cattle, sheep and doves, and others sitting at tables.",そして、宮の中に、牛や羊や鳩を売るもの達と両替人達が座っているのをご覧になった。,然后，他看到在神社里面，卖牛、羊和鸽子的人以及兑换货币的人坐着。,JA 宮の中与 EN temple courts 均可能指宗教建筑空间，但旧译按“神社”处理；缺少上下文以确定此处应为神社、寺院或宫殿，保留现译。
increment_5_to_20pct,1552690,留め,とめ,f51e879t0,gloss,"(a) stop (e.g. in a timber joint, or at the end of a kanji stroke)",,（例如木构件的榫眼或汉字笔画的末端）的停顿,木工接合语境中的 stop 指具体构造部位/止挡，日英释义信息不足以可靠决定最妥当的中文木工术语；现译“榫眼”疑不准但不擅自定词，保留原文。
increment_5_to_20pct,2782510,いで,いで,f169e1074t1,gloss,well,,哎呀,古语感叹词 いで/いでや 的话语功能受具体上下文影响，EN well 可能是承接语或催促，现译“哎呀”不够确定；无语境可作依据，保留原文。
increment_5_to_20pct,1233720,供述,きょうじゅつ,f20e1911t0,gloss,affidavit,,宣誓书,法律术语存在源文差异：JA 供述是供述/陈述，EN affidavit 特指经宣誓的书面陈述；现译“宣誓书”符合英文但可能超出日文义，缺少具体法域语境，保留原译。
increment_5_to_20pct,1399600,想起,そうき,f36e1810t3,gloss,anamnesis,,回忆术,anamnesis 是特定哲学/心理学术语；现译‘回忆术’可能误解为记忆技巧，需核实该条拟指柏拉图式回忆说还是一般回忆，暂不擅改。
increment_5_to_20pct,1399600,想起,そうき,f36e1810t4,xref,anamnesis,,回忆术,xref 同样涉及 anamnesis 的专业义；需核实目标词条语境后才能确定中文对应，暂保留原译。
increment_5_to_20pct,2871317,約束された,やくそくされた,f217e912t4,gloss,natural,,自然的,約束された的这项英文标为 natural，可能表达命中注定/必然，但缺少上下文无法确认；‘自然的’是否为源词条已有特定用法不明，暂保留。
increment_5_to_20pct,1356490,情報量,じょうほうりょう,f32e1211t3,gloss,surprisal,,惊讶度,information theory 中 surprisal 的中文专业译名可能是‘自信息’或‘惊异度’，现译‘惊讶度’不确定是否来自该数据源术语体系，暂不改。
increment_5_to_20pct,2246880,バイ,バイ,f120e1407t0,gloss,Japanese Babylon (Babylonia japonica),,日本贝,该义是特定海螺 Babylon japonica；现译‘日本贝’过于泛化，准确中文物种名需可靠分类学来源确认，暂保留。
increment_5_to_20pct,2246880,バイ,バイ,f120e1407t1,gloss,Japanese ivory shell,,日本象牙贝,Japanese ivory shell 的常用中文物种名无法仅凭通用词义确定，避免误用具体物种名，暂保留。
increment_5_to_20pct,1144630,レイプ,レイプ,f12e472t2,example,"Within the rape crisis movement, Greensite's dissent is significant.",レイプ危(き)機(き)運(うん)動(どう)の内(ない)部(ぶ)においては、グリーンサイトによる異(い)議(ぎ)表(ひょう)明(めい)は重(じゅう)要(よう)な意(い)義(ぎ)を持(も)っている。,在强奸危机运动内部，Greensite的异议声明具有重要意义。,rape crisis movement 是特定社会运动术语，现译‘强奸危机运动’不自然；需要确认中文运动名称及其范围后再改。
increment_5_to_20pct,2865696,チカ,チカ,f211e1790t0,gloss,Japanese surfsmelt (Hypomesus japonicus),,日本银鱼（Hypomesus japonicus）,Hypomesus japonicus 的中文常用物种名需核实；‘日本银鱼’可能与其他鱼类混淆，暂保留现译。
increment_5_to_20pct,1616210,性悪,しょうわる,f60e681t1,gloss,inconstancy,,无常,英文给出 inconstancy，但日语词头性悪（しょうわる）及该词通常义指性情恶劣/坏心肠；来源义项与词头明显冲突，不能仅据英文确定中文应译，暂保留并标疑。
increment_5_to_20pct,2177790,危,き,f113e553t4,xref,② seven mansions (Chinese constellations) of the northern heavens,,牛（Bos taurus）,xref 英文为“北方天空中的七宿”，中文却为“牛（Bos taurus）”，与当前危宿及二十八宿背景也无法直接对应；交叉引用对象来源冲突，需查明对象后才能修正，暂保留。
increment_5_to_20pct,1497410,浮き立つ,うきたつ,f46e530t5,example,That keeps me on my toes.,爪(つま)先(さき)が浮(う)きたっちゃうよ。,脚尖都翘起来了。,英文 idiom 是“keeps me on my toes”（使人保持警觉），日文却直说爪先浮起；中文沿日文作“脚尖都翘起来了”略显生硬且两源隐喻不同，缺乏语境无法确定原句意图，暂保留。
increment_5_to_20pct,1881440,締り,しまり,f85e1358t15,gloss,corner enclosure,,角部包围,围棋shimari的英释、同条info和中文释义在“角部包围”的对象与结构上略不一致；将info改成明确的区域定义，保留该术语词面译法供术语审校。
increment_5_to_20pct,1167990,芋虫,いもむし,f14e866t1,gloss,(hairless) caterpillar,,（无毛的）毛毛虫,英文限定hairless caterpillar，但中文常用“毛毛虫”并不严格限定毛发；若保留“毛毛虫”可能与限定看似冲突，改成具体中文分类名需结合原词虫种确认，暂记术语疑点。
increment_5_to_20pct,1387030,舌鼓を打つ,したつづみをうつ,f35e1428t2,example,We banqueted on lobster that night.,その夜我々は大エビに舌鼓を打った。,那天晚上，我们吃龙虾吃得津津有味。,英文称 lobster，而日文大エビ通常指大虾；源文存在物种冲突，依日文优先原则保留现译并标疑。
increment_5_to_20pct,2600310,刷,さつ,f151e1635t2,gloss,issue,,期,issue 对印刷次数/刊物期数的具体用法依上下文而定，现有义项未提供语境，无法可靠决定中文计数词。
increment_5_to_20pct,2797000,お側,おそば,f171e46t6,gloss,while,,当……时,英文释义 while 与お側（在旁、近旁）的对应缺少上下文，难以确认这里是‘在旁时’还是源释义映射异常；暂保留现译。
increment_5_to_20pct,1444530,斗,と,f41e480t6,xref,② seven mansions (Chinese constellations) of the northern heavens,,牛（Bos taurus）,该 xref 英文指北方七宿，但中文为“牛（Bos taurus）”，像是物种名而非星宿；需查看引用目标原始结构才能判断应保留的对象释义。
increment_5_to_20pct,2709560,サバキ,サバキ,f162e1125t7,gloss,sabaki,,打手,围棋术语 sabaki 在中文有治孤、腾挪等不同译法；来源只给日语音译和英释，无法确认此词库首选译名，保留音译。
increment_5_to_20pct,1237570,狂言,きょうげん,f21e608t6,gloss,make-believe,,胡言乱语,狂言可指荒诞言行或假扮表演，英文 make-believe 未充分消歧，现译“胡言乱语”可能对应另一用法，需结合原始辞典条目确认。
increment_5_to_20pct,1433540,通り名,とおりな,f40e416t5,gloss,house name,,门牌名,英文 house name 对应的对象不够明确，可能指家名/屋号，也可能是房屋本身的名称；无法仅凭该字段确认“门牌名”是否误译，暂保留并标记待查。
increment_5_to_20pct,2488500,レット,レット,f141e1327t0,gloss,let,,发球,レット作为体育术语在常见网球用法中指擦网后判重发球，但该字段只给出泛化的 let，未提供具体运动/规则语境，无法确认释义范围，暂保留“发球”并标记待查。
increment_5_to_20pct,2067660,トラブる,トラブる,f102e470t2,gloss,to cause trouble,,引起麻烦,该条词性标为不及物且词头トラブる通常指自己遇到故障/麻烦，但英文 gloss 写作及物的“to cause trouble”，与日语词性和现译存在冲突；需核对词典源条目后再决定。
increment_5_to_20pct,2796480,話題性,わだいせい,f170e1952t1,gloss,news hook,,新闻钩子,news hook 是新闻学术语，原译“新闻钩子”可能是行业用法，也可能需要按中文新闻编辑惯例译作“新闻由头”；目前无法凭条目内容判定本地术语是否错误，保留并标记待查。
increment_5_to_20pct,1146860,ローラー,ローラー,f12e818t1,example,"The front-roller thrust angle is 2 degrees, probably there were plans to strengthen that angle a little when racing.",フロントローラーのスラスト角は２度、多分レース時にはもう少し角度を強める予定です。,前轮推力角为2度，大概比赛时会把角度再调大一些。,例句可能涉及模型车/赛车的前滚轮角度，但 roller 与 thrust angle 在该专业场景中的中文术语需结合原文完整语境确认；保留现译并标记待查。
increment_5_to_20pct,1829930,生き別れ,いきわかれ,f81e456t0,gloss,lifelong separation,,生离死别,生き別れ指亲友在人世时被迫分离，英语 lifelong separation 与中文常用“生离死别”都可能带出不同的时长/死亡含义；缺少具体语境，暂保留。
increment_5_to_20pct,2151640,飲み,のみ,f110e1315t4,gloss,stock market bucketing,,股票市场的分档,stock market bucketing 是证券交易中的专门做法；现译“股票市场的分档”可能按 bucket 字面处理，但无法仅凭该简短 gloss 确定应译“对赌”或其他术语，暂保留并待查。
increment_5_to_20pct,2869280,ウェア,ウェア,f215e464t0,gloss,ware,,ware,ウェア在该计算机相关词条中用作英语构词成分 ware，但独立释义“ware”可能指商品，也可能是复合词后缀；仅凭此字段无法确定应选哪种中文表述，保留并标记待查。
